700	3	30	166	166	166	164	166	2.984	3.637	3.056	2.458	3.148	165.60	3.06
700	3	15	162	162	166	166	166	3.271	4.869	2.917	2.111	2.209	164.40	3.08
700	3	35	166	166	166	167	167	4.111	3.558	4.442	3.360	2.474	166.40	3.59
800	2	35	165	166	166	163	166	3.790	3.447	3.666	2.712	3.311	165.20	3.39
800	2	15	167	161	164	167	162	4.305	2.131	3.410	2.789	1.487	164.20	2.82
1000	1	20	162	156	159	160	164	4.589	4.959	4.473	3.972	4.533	160.20	4.51
600	2	15	166	165	165	160	166	2.094	2.895	3.677	1.892	2.223	164.40	2.56
600	5	15	166	165	164	166	167	3.464	3.443	2.526	2.076	3.812	165.60	3.06
600	3	25	166	164	165	166	166	2.494	1.339	3.909	4.079	1.414	165.40	2.65
600	2	35	167	166	166	162	162	1.995	2.588	1.722	2.262	2.075	164.60	2.13
600	2	25	166	167	166	166	166	4.556	2.690	1.700	2.245	2.169	166.20	2.67
600	2	25	162	164	166	166	163	4.553	4.964	2.314	3.415	0.948	164.20	3.24
400	2	25	162	165	162	166	166	1.813	4.196	2.719	2.625	2.829	164.20	2.84
400	20	25	161	163	166	166	164	2.400	3.337	1.954	0.950	2.274	164.00	2.18
250	2	15	165	164	162	166	164	0.921	2.397	0.789	2.308	1.854	164.20	1.65
250	5	15	159	166	159	166	166	1.200	1.407	2.073	0.785	2.676	163.20	1.63
100	4	25	152	150	164	158	160	0.223	0.227	0.412	0.224	0.511	156.80	0.32
100	15	25	164	137	158	156	157	0.964	0.953	0.730	0.202	3.637	154.40	1.30
100	15	40	153	161	161	157	160	3.140	0.485	0.155	0.390	0.939	158.40	1.02
150	5	5	165	167	158	166	162	2.105	2.233	0.613	4.191	2.175	163.60	2.26
