AC	30	10	164	160.67	2.03	9.33	0.00
AC	30	10	166	160.33	3.41	8.33	0.00
AC	30	10	160	154.00	3.75	9.33	0.00
AC	30	10	166	162.00	2.41	1.33	0.00
AC	30	10	165	158.33	4.04	2.00	0.00
AC	30	10	160	157.67	1.46	6.00	0.00
AC	30	10	164	162.00	1.22	6.67	0.00
AC	30	10	162	157.67	2.67	4.67	0.00
AC	30	10	162	159.33	1.65	8.00	0.00
AC	30	10	165	162.67	1.41	1.33	0.00
AC	30	10	160	156.00	2.50	2.00	0.00
AC	30	10	162	155.00	4.32	0.00	0.00
AC	30	10	164	156.67	4.47	0.00	0.00
AC	30	10	164	152.33	7.11	0.00	0.00
AC	30	10	155	152.00	1.94	0.00	0.00
AC	30	10	165	161.33	2.22	6.00	0.00
AC	30	10	163	151.33	7.16	0.67	0.00
AC	30	10	157	153.67	2.12	1.67	0.00
AC	30	10	158	155.67	1.48	5.00	0.00
AC	30	10	157	151.67	3.40	0.33	0.00
AC	30	10	156	146.67	5.98	0.33	0.00
AC	30	10	161	155.00	3.73	1.33	0.00
AC	30	10	164	158.00	3.66	0.67	0.00
AC	30	10	153	147.00	3.92	0.00	0.00
AC	30	10	158	155.33	1.69	1.00	0.00
AC	30	10	166	160.00	3.61	1.00	0.00
AC	30	10	159	154.00	3.14	0.67	0.00
AC	30	10	153	152.67	0.22	0.33	0.00
AC	30	10	164	154.00	6.10	0.33	0.00
AC	30	10	160	156.33	2.29	0.00	0.00
AC	30	10	159	152.33	4.19	0.33	0.00
AC	30	10	167	163.33	2.20	3.67	0.00
AC	30	10	156	155.67	0.21	3.67	0.00
AC	30	10	161	157.33	2.28	0.67	0.00
AC	30	10	158	154.00	2.53	0.00	0.00
AC	30	10	157	154.00	1.91	0.00	0.00
AC	30	10	163	158.00	3.07	0.33	0.00
AC	30	10	164	161.67	1.42	4.67	0.00
AC	30	10	160	151.00	5.63	3.00	0.00
AC	30	10	164	155.67	5.08	2.67	0.00
AC	30	10	164	160.00	2.44	1.33	0.00
AC	30	10	158	155.00	1.90	3.00	0.00
AC	30	10	164	156.33	4.67	0.33	0.00
AC	30	10	161	156.33	2.90	0.33	0.00
AC	30	10	159	154.00	3.14	0.00	0.00
AC	30	10	161	159.67	0.83	1.33	0.00
AC	30	10	162	158.33	2.26	2.00	0.00
AC	30	10	157	152.33	2.97	0.67	0.00
AC	30	10	163	159.33	2.25	0.00	0.00
AC	30	10	167	166.67	0.20	1.67	0.00
AC	30	10	164	160.00	2.44	0.67	0.00
AC	30	10	159	156.33	1.68	7.00	0.00
AC	30	10	165	163.33	1.01	1.00	0.00
AC	30	10	158	157.67	0.21	2.67	0.00
AC	30	10	165	158.00	4.24	7.00	0.00
AC	30	10	165	155.67	5.66	0.67	0.00
AC	30	10	158	156.33	1.05	5.33	0.00
AC	30	10	166	162.00	2.41	3.67	0.00
AC	30	10	160	155.67	2.71	10.33	0.00
AC	30	10	166	164.33	1.00	1.33	0.00
AC	30	10	165	158.67	3.84	4.67	0.00
AC	30	10	159	159.00	0.00	12.00	0.00
AC	30	10	154	154.00	0.00	7.00	0.00
AC	30	10	166	166.00	0.00	3.00	0.00
AC	30	10	166	158.00	4.82	2.00	0.00
AC	30	10	167	166.00	0.60	2.67	0.00
AC	30	10	167	166.00	0.60	7.00	0.00
AC	30	10	167	166.00	0.60	8.67	0.00
AC	30	10	161	159.00	1.24	6.33	0.00
